phi,O2,N2,fuel
30,0.00125,0.99375,0.005
6,0.00625,0.98875,0.005
5,0.0075,0.9875,0.005
4,0.009375,0.985625,0.005
3.5,0.010714286,0.984285714,0.005
3,0.0125,0.9825,0.005
2.5,0.015,0.98,0.005
2,0.01875,0.97625,0.005
1.75,0.021428571,0.973571429,0.005
1.5,0.025,0.97,0.005
1.25,0.03,0.965,0.005
1.1,0.034090909,0.960909091,0.005
1,0.0375,0.9575,0.005
0.9,0.041666667,0.953333333,0.005
0.75,0.05,0.945,0.005
0.65,0.057692308,0.937307692,0.005
0.6,0.0625,0.9325,0.005
0.55,0.068181818,0.926818182,0.005
0.5,0.075,0.92,0.005
0.45,0.083333333,0.911666667,0.005
0.4,0.09375,0.90125,0.005
0.35,0.107142857,0.887857143,0.005
0.31,0.120967742,0.874032258,0.005
0.28,0.133928571,0.861071429,0.005
0.25,0.15,0.845,0.005
0.23,0.163043478,0.831956522,0.005
0.2,0.1875,0.8075,0.005
0.19,0.197368421,0.797631579,0.005
0.17,0.220588235,0.774411765,0.005
0.15,0.25,0.745,0.005
0.13,0.288461538,0.706538462,0.005
0.11,0.340909091,0.654090909,0.005
0.1,0.375,0.62,0.005
