species,name,
N2,n2,
O2,o2,
fuel,cyc5h8o
CO,co,
CO2,co2,
CH4,ch4,
H2,h2,
O2,o2,
ethene,c2h4,
formaldehyde,ch2o,
propene,c3h6,
water,h2o,
propadiene (allene),c3h4-a,
acetaldehyde,ch3cho,
"1,3-butadiene",c4h6,
1-butene,c4h8-1,
oxirane,c2h4o1-2
acrolein,c2h3cho,
propanal,c2h5cho,
furan,FURAN,>not in chem
cyclopentadiene,c5h6c,>not in chem
crotonaldehyde (trans),sc3h5cho,
crotonaldehyde (cis),sc3h5cho,
benzene,c6h6,
toluene,toluen,>not in chem
cyclopentanone,cyc5h8o
cyclopent-2-enone,cyc5h6ol,>not in chem
h radical,h,
hydroxy,oh,
hydroperoxy,ho2,
peroxide,h2o2,
